"Country name",continent,"Ladder score",Score_rank,Gdp_rank,Social_rank,Health_rank,Freedom_rank,Generosity_rank,Corruption_rank,total_countries
Kuwait,Asia,6.951,2,4,5,6,5,12,13,41
Singapore,Asia,6.523,6,1,6,4,14,16,1,41
Denmark,Europe,7.583,2,5,6,14,4,10,1,38
Iceland,Europe,7.525,3,8,1,7,5,2,15,38
Sweden,Europe,7.344,4,9,11,5,2,7,3,38
Netherlands,Europe,7.319,5,6,14,10,15,4,9,38
Norway,Europe,7.302,6,4,7,11,3,6,5,38
